customerId,firstName,lastName,email,gender,contactNo,country,dateOfBirth
1,Eleanore,Watmough,ewatmough0@linkedin.com,Female,1891342312,Russia,10/18/2024
2,Pate,O'Devey,podevey1@bing.com,Male,9381928487,Philippines,5/9/2024
3,Emilia,Tummasutti,etummasutti2@wikispaces.com,Female,8553841871,Canada,2/8/2024
4,Cosimo,Aspey,caspey3@archive.org,Male,1645067688,China,11/14/2024
5,Niel,Kiddie,nkiddie4@chron.com,Agender,9289755326,Kiribati,9/18/2024
6,Birgit,Shurman,bshurman5@zimbio.com,Female,5724434695,Sweden,2/13/2024
7,Grove,Guitt,gguitt6@pbs.org,Male,8679299898,Jordan,10/26/2024
8,Marja,Treece,mtreece7@microsoft.com,Female,8620932632,Croatia,3/2/2024
9,Glori,Pegg,gpegg8@weibo.com,Female,7640147808,Indonesia,7/11/2024
10,Alfonse,Kemball,akemball9@home.pl,Male,2796512614,Philippines,6/15/2024
11,Arliene,Lebarree,alebarreea@webeden.co.uk,Female,1670070646,Palestinian Territory,6/5/2024
12,Lara,Neilands,lneilandsb@xing.com,Female,3703571500,United States,2/23/2024
13,Yoshi,Skoughman,yskoughmanc@marketwatch.com,Female,8847097053,Nigeria,5/17/2024
14,Arney,Brisset,abrissetd@altervista.org,Male,6184402056,Croatia,4/10/2024
15,Lon,Zealy,lzealye@cnet.com,Male,2039226303,Syria,4/25/2024
16,Holt,De La Haye,hdelahayef@boston.com,Male,7404654521,China,9/9/2024
17,Mannie,Ferrai,mferraig@tmall.com,Male,3371875741,Paraguay,2/15/2024
18,Jo,Valek,jvalekh@weibo.com,Male,1635765218,China,7/16/2024
19,Chantalle,Zaple,czaplei@wiley.com,Female,5762090779,Argentina,1/26/2024
20,Franz,Palek,fpalekj@theglobeandmail.com,Male,5658934494,Poland,8/6/2024
21,Yuma,Willmot,ywillmotk@yelp.com,Male,7551194398,Philippines,6/10/2024
22,Opaline,Pelz,opelzl@nps.gov,Female,2897092149,Afghanistan,8/10/2024
